Countries,STUDREL,Ranking,total
Albania,0.721130532,55,396.6818954
Argentina,0.117962914,53,403.2367251
Australia,0.132937153,20,501.9880272
Austria,-0.115105634,19,502.4337151
Belgium,-0.127776758,13,514.0842441
Brazil,0.277761822,58,392.8273568
Bulgaria,0.225477387,44,445.1978355
Canada,0.296873748,15,511.6106891
Chile,0.19607238,41,456.5775409
China,0.206317986,1,553.4502667
Colombia,0.441148352,54,403.0187956
Costa Rica,0.463863794,47,425.2346288
Croatia,-0.15255492,35,481.5036422
Czech Republic,-0.207064619,8,519.891674
Denmark,0.117213525,32,483.9945592
England,0.151190534,22,499.1334013
Estonia,-0.091915903,6,527.9302474
Finland,-0.047438917,11,515.2165205
France,-0.180180481,18,503.2678289
Germany,-0.219620939,12,515.1239809
Greece,-0.150830133,39,466.181525
Hungary,-0.018768162,27,494.2307456
Iceland,0.208879539,30,484.5867445
Indonesia,0.42538295,59,385.1605289
Ireland,0.033565635,10,515.6775023
Israel,0.067624763,37,477.7887935
Italy,-0.193015958,26,495.826453
Japan,-0.172256903,3,540.0203954
Jordan,0.354880246,57,394.6832185
Kazakhstan,0.741862159,49,417.1462334
Latvia,0.14026259,23,499.0666491
Liechtenstein,0.048540541,5,528.253616
Lithuania,0.439886253,31,484.5105495
Luxembourg,-0.05325116,28,490.2853281
Malaysia,0.229729328,50,414.4086811
Mexico,0.451689061,48,422.3565468
Montenegro,0.170513654,52,411.6366592
Netherlands,-0.155094604,14,514.0688472
New Zealand,0.105893564,16,510.7731368
South Korea,-0.115780691,2,542.4630843
Norway,-0.139274301,25,496.0224317
Peru,0.3792618,61,375.2510318
Poland,-0.415171278,7,523.1771142
Portugal,0.323528006,29,485.6748894
Qatar,0.082506468,60,382.4260125
Republic of Serbia,0.083512545,43,445.7021128
Romania,0.367162846,45,441.0073643
Russia,0.08851483,34,483.4598899
Slovakia,-0.193876883,38,476.6057717
Slovenia,-0.217132664,36,480.8612603
Spain,-0.098041206,24,497.8928191
Sweden,0.084077991,33,483.5791177
Switzerland,0.053157395,17,507.5081673
Taiwan,0.038156648,4,534.2848058
Thailand,0.291287603,42,450.191439
Tunisia,-0.018725172,56,396.2932831
Turkey,0.194149703,40,463.1206517
United Arab Emirates,0.355485988,46,437.783207
Uruguay,0.182374592,51,413.9577304
USA,0.197711294,21,499.5978477
Vietnam,0.018086588,9,515.7300154
